bucket,horizon_day,count,mean_return,median_return
25th percentile and below,1,1695,0.003786490134271746,0.0
25th percentile and below,2,1695,0.002994743039997317,-0.0004897698081901547
25th percentile and below,3,1695,0.003994346670992975,-0.0015668906414257888
25th percentile and below,4,1695,0.004920601002378837,-0.0010686834641785437
25th percentile and below,5,1695,0.0051995154421533435,-0.003160806005531369
25th percentile and below,6,1695,0.00349247541133369,-0.007011393514461006
25th percentile and below,7,1695,0.0024544045116552575,-0.008343215314246977
25th percentile and below,8,1695,0.0003014023413392461,-0.009584917617236899
25th percentile and below,9,1695,-0.0010389352491949292,-0.01018380526577245
25th percentile and below,10,1695,-0.0014307049282320662,-0.01499461519343881
25th percentile and below,11,1695,-0.002031742254091328,-0.017893179066325815
25th percentile and below,12,1695,-0.001632029870722301,-0.01985531783900263
25th percentile and below,13,1695,-0.0005562733882327026,-0.0192017219243259
25th percentile and below,14,1695,0.003407449333870008,-0.025377107364685014
25th percentile - 50th percentile,1,1695,-0.0013525609152596574,-0.008530805687203658
25th percentile - 50th percentile,2,1695,-0.00022293167650575777,-0.011001737116386745
25th percentile - 50th percentile,3,1695,0.00040034467512325126,-0.0122637159981559
25th percentile - 50th percentile,4,1695,-0.002359181226468012,-0.016843587521663816
25th percentile - 50th percentile,5,1695,-0.001316626842976156,-0.018653593208178942
25th percentile - 50th percentile,6,1695,-0.0008412969279307384,-0.025305015815634824
25th percentile - 50th percentile,7,1695,-0.0015491382229239712,-0.03088517807004576
25th percentile - 50th percentile,8,1695,-0.004155770250697499,-0.03566651805617482
25th percentile - 50th percentile,9,1695,-0.003960816320869795,-0.040212947998859216
25th percentile - 50th percentile,10,1695,0.0005601566207748143,-0.04315129091932757
25th percentile - 50th percentile,11,1695,0.0017819019161526394,-0.040109567599295626
25th percentile - 50th percentile,12,1695,0.010512174040017534,-0.03959484346224684
25th percentile - 50th percentile,13,1695,0.00897550466537428,-0.04315369669700375
25th percentile - 50th percentile,14,1695,0.010814096768424293,-0.04779080252479706
50th percentile - 75th percentile,1,1693,-7.960695134141656e-05,-0.01232998601754165
50th percentile - 75th percentile,2,1687,0.0024689312181922366,-0.013525369206024429
50th percentile - 75th percentile,3,1684,0.0032507562449321055,-0.022060056544178586
50th percentile - 75th percentile,4,1684,0.0007019347153973961,-0.023770667157312964
50th percentile - 75th percentile,5,1680,-0.002082936840792142,-0.032537099414846726
50th percentile - 75th percentile,6,1677,-0.0017457967301071884,-0.034534064212999316
50th percentile - 75th percentile,7,1674,-0.00035103046923234895,-0.03927576454921122
50th percentile - 75th percentile,8,1671,-0.00216328129723511,-0.046908672249392436
50th percentile - 75th percentile,9,1668,-0.003947549980958666,-0.0463549553869515
50th percentile - 75th percentile,10,1667,-0.005793927234191052,-0.052867830423940165
50th percentile - 75th percentile,11,1665,-0.0029493036158228644,-0.052768166089965374
50th percentile - 75th percentile,12,1663,-0.005758451837397773,-0.056424275560415516
50th percentile - 75th percentile,13,1658,-0.006144856536869165,-0.06486041372040746
50th percentile - 75th percentile,14,1655,-0.001301337324492916,-0.07124168348658155
75th percentile & up,1,1692,-0.0015623094505199228,-0.021812945779020043
75th percentile & up,2,1690,-0.003178985142342623,-0.030748052631978384
75th percentile & up,3,1687,-0.00103371925807241,-0.03870010787486522
75th percentile & up,4,1681,-0.0011132754876110051,-0.05094466936572195
75th percentile & up,5,1677,0.003518769663903027,-0.05610972568578543
75th percentile & up,6,1671,0.008880579496225506,-0.05997124666255904
75th percentile & up,7,1668,0.0060877611026908035,-0.0653006796807325
75th percentile & up,8,1666,0.00953008441562292,-0.07191489776155435
75th percentile & up,9,1663,0.011288006070164888,-0.07744994731296106
75th percentile & up,10,1658,0.018610506314273814,-0.08632076933312188
75th percentile & up,11,1654,0.007602170851775686,-0.08483255857143662
75th percentile & up,12,1652,0.013018235768271928,-0.09688465160969284
75th percentile & up,13,1648,0.031999990001810544,-0.09843948924418783
75th percentile & up,14,1647,0.03733717453252128,-0.1043917496842991
