horizon_day,count,mean_return,median_return,reversal_probability
1,6775,0.00020255162845319045,-0.008545227177990888,0.5620664206642066
2,6767,0.0005124555598643181,-0.010797546012269787,0.5631742278705483
3,6761,0.0016552252221557829,-0.01449206725076957,0.5626386629196864
4,6755,0.0005206724989569498,-0.017783291976840365,0.5699481865284974
5,6747,0.0013245847436963182,-0.02146355517142029,0.5799614643545279
6,6738,0.002434044616188774,-0.025336616158887992,0.5862273671712674
7,6732,0.0016468322924600323,-0.02950076652652578,0.5971479500891266
8,6727,0.0008479495305639683,-0.0349135169762973,0.5977404489371191
9,6721,0.000554603744211119,-0.038700430004777964,0.5987204285076626
10,6715,0.002934169253200205,-0.041569459172852485,0.6049143708116158
11,6709,0.0010737166249629923,-0.04131652661064433,0.61260992696378
12,6705,0.004019419290885683,-0.04639922667955543,0.6064131245339299
13,6696,0.008481295734335733,-0.04810502367946223,0.6093189964157706
14,6692,0.01246651481831022,-0.05280919488644936,0.617901972504483
