symbol,pair,onboard_date,status
BTCUSDT,BTCUSDT,2019-09-25,TRADING
ETHUSDT,ETHUSDT,2019-09-25,TRADING
BCHUSDT,BCHUSDT,2019-09-25,TRADING
XRPUSDT,XRPUSDT,2019-09-25,TRADING
LTCUSDT,LTCUSDT,2019-09-25,TRADING
TRXUSDT,TRXUSDT,2019-09-25,TRADING
ETCUSDT,ETCUSDT,2019-09-25,TRADING
LINKUSDT,LINKUSDT,2019-09-25,TRADING
XLMUSDT,XLMUSDT,2019-09-25,TRADING
ADAUSDT,ADAUSDT,2019-09-25,TRADING
XMRUSDT,XMRUSDT,2019-09-25,TRADING
DASHUSDT,DASHUSDT,2019-09-25,TRADING
ZECUSDT,ZECUSDT,2019-09-25,TRADING
XTZUSDT,XTZUSDT,2019-09-25,TRADING
BNBUSDT,BNBUSDT,2019-09-25,TRADING
ATOMUSDT,ATOMUSDT,2019-09-25,TRADING
ONTUSDT,ONTUSDT,2019-09-25,TRADING
IOTAUSDT,IOTAUSDT,2019-09-25,TRADING
BATUSDT,BATUSDT,2019-09-25,TRADING
VETUSDT,VETUSDT,2019-09-25,TRADING
NEOUSDT,NEOUSDT,2019-09-25,TRADING
QTUMUSDT,QTUMUSDT,2019-09-25,TRADING
IOSTUSDT,IOSTUSDT,2019-09-25,TRADING
THETAUSDT,THETAUSDT,2019-09-25,TRADING
ALGOUSDT,ALGOUSDT,2019-09-25,TRADING
ZILUSDT,ZILUSDT,2019-09-25,TRADING
KNCUSDT,KNCUSDT,2019-09-25,TRADING
ZRXUSDT,ZRXUSDT,2019-09-25,TRADING
COMPUSDT,COMPUSDT,2019-09-25,TRADING
DOGEUSDT,DOGEUSDT,2019-09-25,TRADING
KAVAUSDT,KAVAUSDT,2019-09-25,TRADING
BANDUSDT,BANDUSDT,2019-09-25,TRADING
RLCUSDT,RLCUSDT,2019-09-25,TRADING
SNXUSDT,SNXUSDT,2019-09-25,TRADING
DOTUSDT,DOTUSDT,2019-09-25,TRADING
YFIUSDT,YFIUSDT,2019-09-25,TRADING
CRVUSDT,CRVUSDT,2019-09-25,TRADING
TRBUSDT,TRBUSDT,2019-09-25,TRADING
RUNEUSDT,RUNEUSDT,2019-09-25,TRADING
SUSHIUSDT,SUSHIUSDT,2019-09-25,TRADING
EGLDUSDT,EGLDUSDT,2019-09-25,TRADING
SOLUSDT,SOLUSDT,2019-09-25,TRADING
ICXUSDT,ICXUSDT,2019-09-25,TRADING
STORJUSDT,STORJUSDT,2019-09-25,TRADING
