Horizon,p5,p25,p50 (median),p75,p95,Mean,N
Day 1,-13.32%,-4.84%,-0.86%,3.15%,15.18%,0.02%,6775
Day 2,-18.09%,-6.60%,-1.08%,4.35%,21.36%,0.05%,6767
Day 3,-20.51%,-8.32%,-1.45%,5.08%,24.88%,0.17%,6761
Day 4,-23.60%,-9.42%,-1.78%,5.64%,27.97%,0.05%,6755
Day 5,-25.53%,-10.51%,-2.14%,6.25%,31.27%,0.13%,6747
Day 6,-27.38%,-11.61%,-2.53%,6.42%,35.74%,0.24%,6738
Day 7,-29.33%,-12.18%,-2.96%,6.57%,38.63%,0.16%,6732
Day 8,-30.60%,-13.22%,-3.49%,7.15%,40.08%,0.09%,6727
Day 9,-31.96%,-14.15%,-3.87%,7.05%,42.29%,0.06%,6721
Day 10,-33.17%,-15.05%,-4.16%,7.44%,44.66%,0.29%,6715
Day 11,-34.80%,-15.72%,-4.11%,7.75%,46.98%,0.11%,6709
Day 12,-35.30%,-16.42%,-4.63%,7.74%,47.77%,0.40%,6705
Day 13,-36.46%,-17.15%,-4.81%,7.73%,49.71%,0.85%,6696
Day 14,-37.27%,-17.79%,-5.28%,8.00%,52.50%,1.25%,6692
